run,t,S,I,R,V
3,43,976,0,0,24
3,44,975,0,0,25
3,45,975,0,0,25
3,46,971,0,0,29
3,47,970,0,0,30
3,48,974,0,0,26
3,49,977,0,0,23
3,50,975,0,0,25
3,51,977,0,0,23
3,52,972,0,0,28
3,53,973,0,0,27
3,54,970,0,0,30
3,55,968,0,0,32
3,56,967,0,0,33
3,57,963,0,0,37
3,58,964,0,0,36
3,59,964,0,0,36
3,60,962,0,0,38
3,61,963,0,0,37
3,62,964,0,0,36
3,63,966,0,0,34
3,64,971,0,0,29
3,65,965,0,0,35
3,66,969,0,0,31
3,67,969,0,0,31
3,68,968,0,0,32
3,69,970,0,0,30
3,70,969,0,0,31
3,71,967,0,0,33
3,72,971,0,0,29
3,73,969,0,0,31
3,74,972,0,0,28
3,75,975,0,0,25
3,76,971,0,0,29
3,77,972,0,0,28
3,78,971,0,0,29
3,79,973,0,0,27
3,80,973,0,0,27
3,81,970,0,0,30
3,82,965,0,0,35
3,83,966,0,0,34
3,84,968,0,0,32
3,85,969,0,0,31
3,86,967,0,0,33
3,87,967,0,0,33
3,88,971,0,0,29
3,89,973,0,0,27
3,90,971,0,0,29
3,91,972,0,0,28
3,92,970,0,0,30
3,93,970,0,0,30
3,94,968,0,0,32
3,95,968,0,0,32
3,96,973,0,0,27
3,97,975,0,0,25
3,98,973,0,0,27
3,99,972,0,0,28
4,0,72,928,0,0
4,1,0,1000,0,0
4,2,0,1000,0,0
4,3,0,1000,0,0
4,4,0,1000,0,0
4,5,0,1000,0,0
4,6,0,1000,0,0
4,7,0,1000,0,0
4,8,0,1000,0,0
4,9,0,1000,0,0
4,10,0,1000,0,0
4,11,0,1000,0,0
4,12,0,1000,0,0
4,13,0,1000,0,0
4,14,0,72,928,0
4,15,0,0,1000,0
4,16,0,0,1000,0
4,17,0,0,1000,0
4,18,0,0,1000,0
4,19,0,0,1000,0
4,20,0,0,1000,0
4,21,0,0,1000,0
4,22,0,0,1000,0
4,23,0,0,1000,0
4,24,0,0,1000,0
4,25,0,0,1000,0
4,26,0,0,1000,0
4,27,0,0,1000,0
4,28,0,0,1000,0
4,29,0,0,1000,0
4,30,0,0,1000,0
4,31,0,0,1000,0
4,32,0,0,1000,0
4,33,0,0,1000,0
4,34,0,0,1000,0
4,35,922,0,72,6
4,36,992,0,0,8
4,37,989,0,0,11
4,38,983,0,0,17
4,39,977,0,0,23
4,40,970,0,0,30
4,41,968,0,0,32
4,42,968,0,0,32
4,43,970,0,0,30
4,44,970,0,0,30
4,45,969,0,0,31
4,46,967,0,0,33
4,47,967,0,0,33
4,48,962,0,0,38
4,49,962,0,0,38
4,50,958,0,0,42
4,51,959,0,0,41
4,52,957,0,0,43
4,53,963,0,0,37
4,54,962,0,0,38
4,55,968,0,0,32
4,56,972,0,0,28
4,57,969,0,0,31
4,58,966,0,0,34
4,59,972,0,0,28
4,60,968,0,0,32
4,61,967,0,0,33
4,62,963,0,0,37
4,63,958,0,0,42
4,64,957,0,0,43
4,65,960,0,0,40
4,66,954,0,0,46
4,67,956,0,0,44
4,68,962,0,0,38
4,69,963,0,0,37
4,70,969,0,0,31
4,71,973,0,0,27
4,72,972,0,0,28
4,73,978,0,0,22
4,74,981,0,0,19
4,75,981,0,0,19
4,76,979,0,0,21
4,77,975,0,0,25
4,78,973,0,0,27
4,79,973,0,0,27
4,80,967,0,0,33
4,81,962,0,0,38
4,82,960,0,0,40
4,83,962,0,0,38
4,84,963,0,0,37
4,85,967,0,0,33
4,86,957,0,0,43
4,87,958,0,0,42
4,88,961,0,0,39
4,89,962,0,0,38
4,90,963,0,0,37
4,91,964,0,0,36
4,92,962,0,0,38
4,93,972,0,0,28
4,94,978,0,0,22
4,95,976,0,0,24
4,96,975,0,0,25
4,97,969,0,0,31
4,98,966,0,0,34
4,99,963,0,0,37
